"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSOARG00000000345",3872.53473842387,1.44704402629316,0.403053304000762,3.59020509676909,0.000330417871445329,0.0466235373123441
"ENSOARG00000000531",2035.98641817602,-1.03527550858936,0.166609666548878,-6.21377816806112,5.17255380957978e-10,7.29238553960013e-06
"ENSOARG00000000549",9293.15508777113,0.824121570212572,0.22194175428384,3.71323355928153,0.00020462788054486,0.0389705169611157
"ENSOARG00000000848",257.678090920302,0.994150908639493,0.275053618831418,3.6143894883594,0.000301056194209153,0.0458853009004208
"ENSOARG00000000870",19.3796451110773,-1.71376623508088,0.38864998351142,-4.40953636379228,1.03592163248558e-05,0.00853499610117626
"ENSOARG00000001346",143.701223285365,-2.07927545076915,0.389016350214402,-5.34495645137583,9.04387946409123e-08,0.000476522008962967
"ENSOARG00000001554",423.202419845442,1.55241805527467,0.390174504680693,3.97877881986452,6.92701440072026e-05,0.0226499317047149
"ENSOARG00000001587",80.885608125719,1.48426692995773,0.396862793935231,3.74000020319356,0.000184020106189952,0.0377021831395907
"ENSOARG00000001968",470.632168456404,1.48822950682429,0.380135686145218,3.91499551624775,9.04058879093095e-05,0.0259826521851355
"ENSOARG00000001985",100.460971620817,1.25697770798403,0.349704169872146,3.59440297335772,0.00032513628059089,0.0466235373123441
"ENSOARG00000002489",666.43623458639,1.08115962534653,0.2983791185974,3.62344265385851,0.000290707680089912,0.0454142148885155
"ENSOARG00000002562",320.178427424129,-1.03473477863902,0.284294719079206,-3.63965529148904,0.000273003257456371,0.0440343111287026
"ENSOARG00000002778",50.4592687411428,1.60918509903977,0.383654913984354,4.19435550121846,2.73648526634199e-05,0.014915731932782
"ENSOARG00000002865",446.556380582121,-1.7046134109753,0.378322721211945,-4.50571249200846,6.61506041054894e-06,0.00697095066063647
"ENSOARG00000002866",325.747342595332,-0.938460997002651,0.22575280012578,-4.15702926599262,3.22412701929293e-05,0.0154435684224131
"ENSOARG00000002973",286.596777750704,1.10748933946396,0.287768053474072,3.84854860049205,0.000118819725837295,0.0298124350207957
"ENSOARG00000003121",72.1357201172018,1.51708704551571,0.396113768889407,3.82992757300308,0.00012818098053502,0.0311716424510318
"ENSOARG00000003437",9.89876567975502,-1.6436550124468,0.403516646591692,-4.07332640754712,4.63463987324501e-05,0.0177454371058545
"ENSOARG00000003601",334.677715123196,0.880085114909523,0.235660158582503,3.73455199301927,0.000188049640420104,0.0377021831395907
"ENSOARG00000003624",3534.69724518851,1.04966526952729,0.279070785781306,3.76128682401699,0.000169041454277534,0.037111642607847
"ENSOARG00000003895",230.300856568479,1.33050708242349,0.360608895274775,3.68961248559793,0.000224595905355984,0.0398897469209217
"ENSOARG00000004062",21.5241964383929,-1.59982140093292,0.404300680081005,-3.95700892863299,7.58940951153596e-05,0.0235227051272253
"ENSOARG00000004930",42.0892068139695,-1.47418931487127,0.392988252650622,-3.75122997933953,0.000175969197078916,0.0375884472733302
"ENSOARG00000005014",521.74370001948,1.53051914196581,0.323898727617208,4.72530149539401,2.29774192022868e-06,0.00367375670840099
"ENSOARG00000005078",2759.18234704736,0.348982422157513,0.0949769193329297,3.6743918902465,0.000238416564957927,0.0414137433218677
"ENSOARG00000005315",456.047950599367,-1.38554653980422,0.385468179627136,-3.59445114547319,0.000325076133605606,0.0466235373123441
"ENSOARG00000005471",70.8873312177214,-1.26980661302379,0.322669307278498,-3.93531886789534,8.30863081885945e-05,0.0243212087692058
"ENSOARG00000005526",4913.0332459998,0.846784980926993,0.227051595758137,3.72948262309954,0.000191873337241842,0.0377021831395907
"ENSOARG00000005699",21.1711590736962,2.35228507646259,0.384219557763275,6.12224190292748,9.2267799577404e-10,7.29238553960013e-06
"ENSOARG00000005709",3123.92132562617,1.28988822769291,0.279015220844757,4.62300308846088,3.7822408929763e-06,0.00475305704954068
"ENSOARG00000005722",10459.5554629882,1.67419448840262,0.332473593815548,5.03557130414223,4.76425736759123e-07,0.00150617232419029
