ENSOARG00000001783	ENSOARG00000000899	ENSOARG00000019231	ENSOARG00000008867	ENSOARG00000004062	ENSOARG00000012165		ENSOARG00000017163	ENSOARG00000009600			ENSOARG00000008838	ENSOARG00000017011	4	CYP7B1	
ENSOARG00000001848	ENSOARG00000000950	ENSOARG00000018943	ENSOARG00000008913	ENSOARG00000004930	ENSOARG00000012224		ENSOARG00000018383	ENSOARG00000009822			ENSOARG00000008913	ENSOARG00000020469	4	CLDN16	
ENSOARG00000001968	ENSOARG00000001010	ENSOARG00000013575	ENSOARG00000009028	ENSOARG00000005014	ENSOARG00000012362		ENSOARG00000018592	ENSOARG00000010230			ENSOARG00000009097	ENSOARG00000020131	4	TSPAN2	
ENSOARG00000001985	ENSOARG00000001035	ENSOARG00000002356	ENSOARG00000009233	ENSOARG00000005078	ENSOARG00000013183		ENSOARG00000020481	ENSOARG00000010276			ENSOARG00000009563	ENSOARG00000013669	4	NPY1R	
ENSOARG00000002050	ENSOARG00000001060	ENSOARG00000016786	ENSOARG00000009752	ENSOARG00000005315	ENSOARG00000013669			ENSOARG00000010332			ENSOARG00000010230	ENSOARG00000016786	4	KRT86	
ENSOARG00000002053	ENSOARG00000001160	ENSOARG00000009276	ENSOARG00000009843	ENSOARG00000005471	ENSOARG00000014207			ENSOARG00000011052			ENSOARG00000012206	ENSOARG00000017823	4	DCBLD2	
ENSOARG00000002079	ENSOARG00000001254	ENSOARG00000011522	ENSOARG00000009884	ENSOARG00000005526	ENSOARG00000014509			ENSOARG00000012264			ENSOARG00000012264	ENSOARG00000014509	4	MGAM	
ENSOARG00000002489	ENSOARG00000001300	ENSOARG00000003849	ENSOARG00000010088	ENSOARG00000005699	ENSOARG00000016717			ENSOARG00000013905			ENSOARG00000014731	ENSOARG00000007029	3		
ENSOARG00000002539	ENSOARG00000001308	ENSOARG00000002587	ENSOARG00000010120	ENSOARG00000005709	ENSOARG00000017011			ENSOARG00000013936			ENSOARG00000015262	ENSOARG00000001985	3		
ENSOARG00000002639	ENSOARG00000001374	ENSOARG00000005238	ENSOARG00000010382	ENSOARG00000005722	ENSOARG00000017163			ENSOARG00000014019			ENSOARG00000015547	ENSOARG00000012848	3		
ENSOARG00000002674	ENSOARG00000001395	ENSOARG00000019095	ENSOARG00000010561	ENSOARG00000005780	ENSOARG00000017823			ENSOARG00000014283			ENSOARG00000016786	ENSOARG00000011304	3		
ENSOARG00000002688	ENSOARG00000001456	ENSOARG00000016846	ENSOARG00000010710	ENSOARG00000005888	ENSOARG00000018146			ENSOARG00000014514			ENSOARG00000016859	ENSOARG00000017490	3		
ENSOARG00000002693	ENSOARG00000001511	ENSOARG00000000072	ENSOARG00000011052	ENSOARG00000006314	ENSOARG00000018396			ENSOARG00000014616			ENSOARG00000016979	ENSOARG00000002489	3		
ENSOARG00000002746	ENSOARG00000001525	ENSOARG00000019613	ENSOARG00000011391	ENSOARG00000006737	ENSOARG00000019163			ENSOARG00000014731			ENSOARG00000017163	ENSOARG00000008842	3		
ENSOARG00000002778	ENSOARG00000001543	ENSOARG00000012070	ENSOARG00000011449	ENSOARG00000006822	ENSOARG00000019698			ENSOARG00000014745			ENSOARG00000018383	ENSOARG00000010088	3		
ENSOARG00000002790	ENSOARG00000001544	ENSOARG00000016427	ENSOARG00000011622	ENSOARG00000006867	ENSOARG00000020131			ENSOARG00000014856			ENSOARG00000018592	ENSOARG00000025935	3		
ENSOARG00000002798	ENSOARG00000001554	ENSOARG00000004315	ENSOARG00000012165	ENSOARG00000006909	ENSOARG00000020740			ENSOARG00000015190			ENSOARG00000020481	ENSOARG00000000870	3		
ENSOARG00000002887	ENSOARG00000001587	ENSOARG00000000229	ENSOARG00000012206	ENSOARG00000006941				ENSOARG00000015547			FS-TX-diet	ENSOARG00000012958	3		
ENSOARG00000002924	ENSOARG00000001673	ENSOARG00000014170	ENSOARG00000012224	ENSOARG00000007029				ENSOARG00000016372			ENSOARG00000000345	ENSOARG00000020178	3		
ENSOARG00000002991	ENSOARG00000001783	ENSOARG00000007580	ENSOARG00000012264	ENSOARG00000007044				ENSOARG00000016859			ENSOARG00000000531	ENSOARG00000011052	3		
ENSOARG00000003042	ENSOARG00000001827	ENSOARG00000022544	ENSOARG00000012695	ENSOARG00000007322				ENSOARG00000016979			ENSOARG00000001346	ENSOARG00000008351	3		
ENSOARG00000003044	ENSOARG00000001849	ENSOARG00000017996	ENSOARG00000012848	ENSOARG00000007549				ENSOARG00000017163			ENSOARG00000001554	ENSOARG00000018916	3		
ENSOARG00000003121	ENSOARG00000001968	ENSOARG00000019995	ENSOARG00000013019	ENSOARG00000008063				ENSOARG00000017187			ENSOARG00000001968	ENSOARG00000001587	3		
ENSOARG00000003213	ENSOARG00000001985	ENSOARG00000018321	ENSOARG00000014199	ENSOARG00000008186				ENSOARG00000017203			ENSOARG00000002060	ENSOARG00000003895	3		
ENSOARG00000003419	ENSOARG00000002035	ENSOARG00000006210	ENSOARG00000014283	ENSOARG00000008330				ENSOARG00000017975			ENSOARG00000002778	ENSOARG00000007322	3		
ENSOARG00000003577	ENSOARG00000002079	ENSOARG00000012501	ENSOARG00000014509	ENSOARG00000008351				ENSOARG00000018281			ENSOARG00000003867	ENSOARG00000005888	3		
ENSOARG00000003664	ENSOARG00000002145		ENSOARG00000014564	ENSOARG00000008367				ENSOARG00000018549			ENSOARG00000005014	ENSOARG00000007044	3		
ENSOARG00000003875	ENSOARG00000002211		ENSOARG00000014856	ENSOARG00000008480				ENSOARG00000019235			ENSOARG00000005526	ENSOARG00000018396	3		
ENSOARG00000003895	ENSOARG00000002307		ENSOARG00000015237	ENSOARG00000008637				ENSOARG00000019829			ENSOARG00000005699	ENSOARG00000006737	3		
ENSOARG00000004045	ENSOARG00000002402		ENSOARG00000016092	ENSOARG00000008775				ENSOARG00000020194			ENSOARG00000005709	ENSOARG00000005526	3		
ENSOARG00000004049	ENSOARG00000002489		ENSOARG00000016098	ENSOARG00000009233				ENSOARG00000020431			ENSOARG00000005722	ENSOARG00000008660	3		
ENSOARG00000004395	ENSOARG00000002539		ENSOARG00000016786	ENSOARG00000009463				ENSOARG00000020481			ENSOARG00000005888	ENSOARG00000002559	3		
ENSOARG00000004415	ENSOARG00000002559		ENSOARG00000017123	ENSOARG00000009518				ENSOARG00000023487			ENSOARG00000006087	ENSOARG00000008330	3		
ENSOARG00000004730	ENSOARG00000002564		ENSOARG00000017163	ENSOARG00000009752				ENSOARG00000024669			ENSOARG00000006822	ENSOARG00000011885	3		
ENSOARG00000004829	ENSOARG00000002674		ENSOARG00000017490	ENSOARG00000009798				ENSOARG00000025788			ENSOARG00000007549	ENSOARG00000019698	3		
ENSOARG00000004833	ENSOARG00000002688		ENSOARG00000018362	ENSOARG00000009958				ENSOARG00000026516			ENSOARG00000009233	ENSOARG00000012362	3		
ENSOARG00000004881	ENSOARG00000002724		ENSOARG00000018795	ENSOARG00000010026							ENSOARG00000010649	ENSOARG00000020481	3		
ENSOARG00000004969	ENSOARG00000002746		ENSOARG00000018906	ENSOARG00000010638							ENSOARG00000011304	ENSOARG00000000345	3		
ENSOARG00000005014	ENSOARG00000002778		ENSOARG00000020289	ENSOARG00000010649							ENSOARG00000011685	ENSOARG00000012264	3		
ENSOARG00000005083	ENSOARG00000002815		ENSOARG00000020469	ENSOARG00000010816							ENSOARG00000012165	ENSOARG00000019163	3		
ENSOARG00000005230	ENSOARG00000002844		ENSOARG00000020481	ENSOARG00000011052							ENSOARG00000012224	ENSOARG00000005709	3		
ENSOARG00000005318	ENSOARG00000002887		ENSOARG00000020838	ENSOARG00000011180							ENSOARG00000012362	ENSOARG00000005450	3		
