"","ensembl_gene_id","go_id"
"127","ENSOARG00000000465","GO:1900273"
"128","ENSOARG00000000465","GO:2000969"
"129","ENSOARG00000000465","GO:0070325"
"130","ENSOARG00000000465","GO:1902078"
"131","ENSOARG00000000465",""
"132","ENSOARG00000000522","GO:0005515"
"133","ENSOARG00000000522","GO:0043235"
"134","ENSOARG00000000522","GO:0021756"
"135","ENSOARG00000000522","GO:0007625"
"136","ENSOARG00000000522","GO:0009410"
"137","ENSOARG00000000522","GO:0048813"
"138","ENSOARG00000000522","GO:0030534"
"139","ENSOARG00000000522","GO:0007409"
"140","ENSOARG00000000522","GO:0051965"
"141","ENSOARG00000000522","GO:0072358"
"142","ENSOARG00000000522","GO:0007268"
"143","ENSOARG00000000522","GO:0043588"
"144","ENSOARG00000000675","GO:0043547"
"145","ENSOARG00000000675","GO:0032012"
"146","ENSOARG00000000675","GO:0005086"
"147","ENSOARG00000000675","GO:0010923"
"148","ENSOARG00000000684","GO:0005515"
"149","ENSOARG00000000684","GO:0090051"
"150","ENSOARG00000000684","GO:0030948"
"151","ENSOARG00000000684","GO:0070062"
"152","ENSOARG00000000684","GO:0005615"
"153","ENSOARG00000000684","GO:0005604"
"154","ENSOARG00000000714","GO:0009306"
"155","ENSOARG00000000714","GO:0014059"
"156","ENSOARG00000000714","GO:0046928"
"157","ENSOARG00000000714","GO:0008344"
"158","ENSOARG00000000714","GO:0050808"
"159","ENSOARG00000000714","GO:0030424"
"160","ENSOARG00000000714","GO:0043025"
"161","ENSOARG00000000714","GO:0007268"
"162","ENSOARG00000000714","GO:0005515"
"163","ENSOARG00000000714","GO:0070062"
"164","ENSOARG00000000714","GO:0005737"
"165","ENSOARG00000000729","GO:0005886"
"166","ENSOARG00000000729","GO:0005515"
"167","ENSOARG00000000729","GO:0005737"
"168","ENSOARG00000000729","GO:0030212"
"169","ENSOARG00000000729","GO:0004867"
"170","ENSOARG00000000729","GO:0010951"
"171","ENSOARG00000000729","GO:0070062"
"172","ENSOARG00000000729","GO:0072562"
"173","ENSOARG00000000729","GO:0006953"
"174","ENSOARG00000000729","GO:0034097"
"175","ENSOARG00000000741","GO:2001023"
"176","ENSOARG00000000741","GO:0072719"
"177","ENSOARG00000000741","GO:0071478"
"178","ENSOARG00000000741","GO:0045600"
"179","ENSOARG00000000741","GO:0070062"
"180","ENSOARG00000000741","GO:0005654"
"181","ENSOARG00000000741","GO:0045944"
"182","ENSOARG00000000741","GO:0005737"
"183","ENSOARG00000000741","GO:0005634"
"184","ENSOARG00000000778","GO:1900745"
"185","ENSOARG00000000778","GO:0071635"
"186","ENSOARG00000000778","GO:0060665"
"187","ENSOARG00000000778","GO:0048012"
"188","ENSOARG00000000778","GO:0014812"
"189","ENSOARG00000000778","GO:0005008"
"190","ENSOARG00000000778","GO:0010828"
"191","ENSOARG00000000778","GO:0001890"
"192","ENSOARG00000000778","GO:0051450"
