sample,breed,diet,GAPDH,GPSM3,SLCO2A1,GJA5,CYP26B1,ABLIM3,BMX,CNTN4,FBLN2
379,TEX,FLU,18.77,25.22,22.96,22.69,25.481,24.465,30.786,32.07,33.63
43A,TEX,FLU,17.01,24.79,22.29,24.57,26.757,26.262,30.644,33.17,36.17
43A,TEX,FLU,16.98,24.61,22.4,24.49,26.84,26.481,32.717,32.06,36.9
4H,TEX,FLU,18.11,24.8,22.91,24.68,26.967,26.384,32.046,31.19,36.38
4H,TEX,FLU,18.09,24.76,22.76,25.96,26.907,26.735,30.946,32.69,37.41
4P,TEX,FLU,18.21,24.86,25.09,24.59,27.332,25.695,28.04,29.72,36.873
4P,TEX,FLU,18.25,24.86,23.93,24.55,28.712,26.145,28.361,29.76,36.645
787,TEX,FLU,18.21,24.67,23.06,22.8,27.075,25.781,27.63,34.15,32.92
787,TEX,FLU,18.34,24.79,22.63,23.18,27.636,25.865,31.273,33.28,33.92
9K,TEX,FLU,18.97,23.84,23.24,24.33,28.246,26.999,29.908,35.46,33.11
9K,TEX,FLU,19.03,23.79,23.03,23.97,28.318,27.024,29.41,34.99,32.83
