mirna,TC_3B,TF_4H,TF_4P,FF_5B,F1F_7G,F1F_7M,TF_9K,TC_11E,TF_13B,F1C_19A,FF_21J,TF_22A,FF_23C,F1F_24A,TC_26B,TC_27A,F1C_29A,F1F_31A,F1F_33A,FF_35C,F1C_37,FF_39A,FF_39E,FF_39J,FC_42B,TF_43A,TC_44A,FC_45A,FC_46F,TF_379,FC_41B,TF_787,FF_801,FC_974,F1C_4208,F1F_4563,F1F_4590
novel_14_243,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_244,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_245,27965,34383,38059,49644,58714,51933,41531,52642,118252,51465,64172,16475,76717,32586,55711,57545,40016,33147,25607,63183,40721,53216,79549,75809,39965,15207,77937,54090,70104,52820,82718,80547,61539,47366,35690,34514,37011
novel_14_246,40,0,14,30,65,0,0,0,138,96,0,41,81,0,94,0,50,28,57,35,0,0,63,46,32,0,37,31,0,48,0,0,0,71,0,0,88
novel_14_247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_14_252,299,242,125,353,612,502,282,558,1293,681,289,331,749,382,401,436,361,267,334,392,343,376,750,586,303,356,566,363,321,546,493,470,394,656,349,421,659
novel_15_253,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
novel_15_255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_256,14,18,16,33,75,22,20,32,53,118,19,24,46,13,22,9,33,20,62,16,0,14,30,17,28,23,88,15,15,21,38,19,23,27,20,11,64
novel_15_257,63,63,39,68,348,82,32,89,123,337,37,98,108,45,52,36,98,34,169,27,12,28,92,63,57,121,146,31,23,61,176,35,47,68,63,64,157
novel_15_258,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,12
novel_15_259,0,10,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_260,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_261,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_262,0,0,0,0,0,0,0,0,0,0,0,10,0,40,0,0,0,0,0,50,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,32
novel_15_263,18,0,0,17,0,10,0,36,0,0,10,0,0,23,23,28,0,0,0,0,0,29,0,34,24,0,54,0,0,25,24,0,10,33,18,0,9
novel_15_264,7053,2874,4959,11371,23284,22849,8347,12490,70001,31234,13567,11372,31964,7238,20654,9070,14853,8045,8142,12071,6957,13597,42342,15508,19106,4682,18246,40666,20384,23168,27753,22269,15314,32134,6707,20209,10382
novel_15_265,29,0,0,0,3,0,0,0,0,0,3,34,8,4,0,0,0,0,15,0,6,0,12,0,0,81,0,0,0,0,0,0,0,15,0,0,83
novel_15_266,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_268,29,7,0,9,14,9,0,70,44,0,0,0,62,0,12,21,0,9,9,7,0,0,15,0,0,26,23,0,0,10,7,21,0,16,12,11,25
novel_15_269,152,333,130,0,223,474,428,178,371,235,134,107,195,234,487,174,135,84,136,103,193,130,144,152,83,140,316,132,319,125,179,186,86,154,194,76,423
novel_15_270,72,63,30,115,138,107,94,129,393,261,128,72,167,49,112,117,130,36,85,114,43,138,202,158,79,52,192,115,201,152,193,170,126,185,68,80,78
novel_15_271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
novel_15_272,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,29,0,0,21
novel_15_273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_274,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0
novel_15_275,31,29,34,62,78,65,73,43,206,165,72,101,74,45,58,90,59,22,108,49,37,78,70,70,56,12,67,65,163,130,189,219,63,107,43,45,28
novel_15_276,0,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_278,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_15_279,7987,3144,2007,15903,15310,15534,6707,13740,60732,30059,14771,10599,28634,7543,16462,11820,12396,8888,8342,14220,7621,15575,34846,17505,14974,3327,18160,14880,25835,18765,41208,19381,20281,32493,7991,12553,8855
novel_16_280,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_16_281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0
novel_16_282,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_16_283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
novel_16_284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
novel_16_285,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_16_286,3,0,0,11,11,6,0,21,35,11,5,16,36,0,10,0,0,0,0,11,7,0,16,0,0,32,10,7,9,19,36,6,0,21,9,0,26
novel_16_287,0,36,0,31,140,0,7,29,63,137,25,21,44,47,64,19,56,64,88,25,59,103,33,177,85,35,33,75,23,32,42,33,21,44,40,14,114
novel_16_288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_16_289,0,10,0,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_16_290,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,7
novel_16_291,10,23,32,68,204,41,0,21,47,237,26,61,37,17,13,9,21,9,95,0,21,67,62,77,18,28,71,41,8,50,60,29,11,25,69,27,51
novel_16_292,0,0,0,0,0,0,0,0,0,0,0,11,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_16_293,0,0,0,0,0,0,0,3,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0
novel_16_294,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_16_295,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12
novel_16_296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
novel_16_297,0,0,0,0,0,0,0,0,0,3105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_16_298,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_16_299,0,0,0,0,0,11,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_16_300,7,0,0,0,0,0,0,8,16,14,6,0,0,0,15,10,0,11,6,0,7,0,5,0,0,16,23,24,13,9,19,13,0,13,7,9,0
novel_16_301,0,0,0,0,0,0,0,0,0,0,0,0,45,23,0,35,0,0,34,0,0,0,0,29,0,0,0,0,27,0,0,0,0,0,0,38,0
novel_17_302,0,0,0,0,0,0,0,0,31,0,16,0,0,0,0,0,0,0,0,12,0,0,20,17,0,0,0,0,24,9,0,0,9,0,0,0,18
novel_17_303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
novel_17_304,0,0,0,0,0,0,44,0,338,0,0,98,10,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0
novel_17_305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
novel_17_306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
novel_17_307,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,69,115,0,0,0,0,0,0,0,0
novel_17_308,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
novel_17_309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_17_310,13,20,9,21,26,10,41,10,49,0,12,18,21,0,14,11,14,11,21,22,4,19,31,28,0,12,38,13,28,22,14,18,19,27,21,9,11
novel_17_312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0
novel_17_313,0,0,0,12,0,0,11,0,0,0,0,20,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_17_314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_17_315,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0
novel_17_316,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_17_317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
novel_17_320,0,0,0,0,5,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,8
novel_17_321,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_17_322,15,7,0,0,0,0,0,0,9,10,0,0,0,0,9,0,0,0,0,0,0,7,0,0,0,16,0,6,5,0,10,5,0,0,0,0,26
novel_17_323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
novel_17_324,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_17_325,0,0,0,0,0,0,0,55,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_17_326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_17_327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
novel_17_328,0,0,0,0,0,0,0,0,13,16,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,0,0,14
novel_17_329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_17_330,184,297,116,370,432,419,440,324,775,573,377,254,507,254,460,275,327,297,333,387,226,395,515,371,251,124,428,284,508,400,562,463,380,509,374,293,311
novel_18_331,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,9,0,0,0,8
novel_18_332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
novel_18_333,0,0,0,0,8,0,0,0,0,13,0,18,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,12
novel_18_334,0,0,0,0,28,0,0,0,41,60,11,48,55,11,10,12,0,7,0,7,0,13,0,0,12,35,0,37,0,34,0,0,0,50,0,0,41
novel_18_335,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0
novel_18_336,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_18_337,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_18_338,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_18_339,605,86,94,350,462,468,158,391,1614,690,360,481,1337,154,405,488,411,214,238,404,227,286,1055,410,434,1035,450,664,538,690,1058,344,471,1181,191,350,1473
novel_18_340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0
novel_18_341,0,0,0,0,0,13,0,0,0,0,0,19,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
novel_18_342,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_18_343,68,46,11,9,145,35,9,0,18,14,28,11,22,0,12,18,19,0,21,12,15,15,21,19,33,0,12,50,18,0,23,251,25,15,10,15,18
novel_18_344,0,0,0,0,79,0,0,0,1446,0,0,70,0,0,228,0,0,84,0,50,85,0,396,0,0,0,0,179,0,0,0,0,0,0,0,0,0
novel_18_345,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_18_346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_18_347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_18_348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
novel_18_349,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_18_351,16,12,10,13,30,12,16,16,35,13,17,9,12,12,18,14,0,23,12,28,7,11,25,15,7,10,22,0,14,25,0,10,41,17,19,18,0
novel_18_352,0,463,264,0,1194,792,0,919,1530,1265,0,0,1733,0,0,441,667,426,712,479,0,867,0,0,0,577,626,554,959,538,978,582,0,1140,305,656,845
novel_18_353,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_18_354,0,0,0,0,11,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,0,0,0,32
novel_18_355,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,0,0,0
novel_18_356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
novel_18_357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
novel_18_358,60,36,19,0,119,93,0,95,454,181,110,74,273,0,95,92,0,40,0,0,63,114,273,111,92,55,122,8,220,170,195,172,153,315,0,0,145
novel_18_359,16,9,15,13,39,43,8,42,130,67,24,28,134,16,27,19,56,32,33,17,9,8,90,36,40,42,28,45,35,43,77,42,11,60,15,48,46
novel_18_360,38,0,0,0,0,0,0,0,36,0,0,18,46,0,28,18,0,11,0,0,17,0,0,0,15,60,0,0,0,0,0,0,0,39,11,17,125
novel_18_361,1426,780,540,2396,3659,3855,1953,3989,13115,8013,2973,2193,8391,1691,4231,2269,2871,1599,1808,2578,1343,2560,7159,3265,2709,1746,3892,3496,4701,5108,8047,3952,2440,6881,1635,2917,3256
novel_18_362,67,74,44,63,142,157,92,116,346,243,0,125,201,75,193,116,0,0,108,0,92,60,113,68,77,150,165,115,174,0,207,150,86,223,73,0,218
novel_18_363,10,0,0,0,19,8,0,8,27,16,4,32,34,8,9,10,0,0,25,9,11,0,25,0,14,41,7,7,16,0,7,8,3,15,0,8,51
novel_18_364,1099,1956,982,2225,4775,3059,2752,1513,3990,0,2849,934,2018,3422,1379,2817,0,1620,2094,1858,0,4156,3037,6070,2329,1306,4963,1059,2841,4905,1727,5565,1916,1726,1728,1647,1290
novel_18_366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
novel_18_367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
novel_18_368,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_369,10,0,0,0,9,0,7,0,14,17,8,7,16,0,11,0,10,0,13,8,0,0,15,0,9,11,0,7,8,11,19,7,9,0,0,0,24
novel_19_370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_371,0,0,0,12,10,0,0,6,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_373,0,0,0,0,0,0,10,0,7,8,0,7,0,8,9,0,8,0,0,8,7,7,12,0,0,0,16,0,11,9,0,9,7,0,0,0,29
novel_19_374,9,0,0,22,18,16,33,40,73,47,0,69,25,21,56,14,23,16,8,16,12,9,34,12,11,19,23,19,22,60,46,25,4,54,10,10,49
novel_19_375,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_376,0,10,0,0,0,0,0,0,21,0,0,0,0,7,0,6,8,0,0,0,0,0,20,29,11,0,0,7,0,15,0,0,0,0,0,0,0
novel_19_377,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_378,21,0,7,30,62,77,16,40,181,139,25,58,107,17,58,39,35,27,19,67,12,30,95,40,52,3,13,76,59,58,167,41,58,115,15,50,20
novel_19_379,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_380,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_381,0,0,0,0,8,0,0,12,30,8,0,7,0,0,14,0,0,0,0,0,0,0,8,0,0,7,14,9,10,8,8,0,11,12,0,0,11
novel_19_382,0,0,153,629,0,0,420,794,2700,0,0,679,2477,0,1326,680,669,423,618,0,475,666,0,815,0,864,0,937,0,985,0,869,719,0,0,763,0
novel_19_383,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_384,0,0,0,8,10,13,0,0,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,8,0,0,0,9,12,9
novel_19_385,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_386,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_387,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_388,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
novel_19_389,10,0,0,0,17,0,0,12,27,0,0,0,9,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,11,0,0,9,0,0,0,16
novel_19_390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_19_391,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
novel_2_392,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_393,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,12,0,0,0
novel_2_394,1073,952,688,2077,2556,2672,2347,2105,9952,5150,2095,1984,5302,1514,3780,2161,2450,1082,2049,2357,1446,2396,4345,2819,1721,918,3564,2580,3675,3424,3730,3265,2035,3173,1646,2040,2670
novel_2_395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_396,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_397,0,0,0,0,0,0,0,0,367,0,0,0,0,33,124,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,0,0,0
novel_2_398,0,0,0,0,0,0,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,0,14,0,0,8,7,0,13,0,0,0,0,13,0,0,0
novel_2_399,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,15,0,0,0,0,0,0,7,0,0,0,13
novel_2_400,1553,2135,1753,0,0,4833,2171,3106,0,5757,2727,1931,5923,2196,4441,2594,3298,1836,1824,2329,1403,0,6190,4509,3158,2125,3894,7137,0,5147,8211,5477,2526,4406,2748,2179,0
novel_2_401,40476,54325,29995,66970,108861,97796,60625,96510,299875,172263,72773,53201,155844,53164,114726,68146,69202,46681,41497,64203,45584,83596,161406,96940,91311,52455,120003,126191,143683,134245,196673,115432,77617,152872,59999,65600,120702
novel_2_402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
novel_2_403,27,9,8,25,49,36,0,30,119,109,21,63,91,15,23,28,23,13,48,12,15,23,109,26,19,41,27,53,0,50,67,28,20,99,12,16,49
novel_2_404,0,0,0,0,0,0,0,0,9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_405,0,0,0,0,8,0,0,8,18,8,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,8,0,0,9,0,9,0,0,13,8
novel_2_406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_407,38,0,7,67,52,52,28,0,123,73,118,61,111,17,42,24,86,13,0,50,21,33,115,52,156,12,80,107,47,81,103,40,0,107,0,65,0
novel_2_408,0,0,0,8,0,0,0,0,22,10,9,10,8,0,0,10,0,0,0,0,0,0,0,0,8,0,0,0,0,11,10,0,0,12,0,0,0
novel_2_409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
novel_2_410,11799,21069,22721,31115,28011,33272,27052,15173,55703,38450,28305,11881,26733,19218,26125,26433,28462,20179,15532,32383,15543,31786,35684,34664,19940,6746,35787,24384,38402,30995,33870,38398,23781,28666,22332,20227,14516
novel_2_411,0,0,0,0,0,875,0,1998,3723,0,486,0,0,0,0,0,0,0,0,0,627,706,0,0,0,0,0,0,0,0,0,822,0,0,0,0,0
novel_2_412,39,46,12,0,48,0,40,0,31,25,28,0,39,21,0,26,0,14,45,10,22,0,27,36,29,0,0,27,0,0,29,0,28,0,0,0,187
novel_2_413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_2_415,0,0,58,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0
novel_2_416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
