mirna,TC_3B,TF_4H,TF_4P,FF_5B,F1F_7G,F1F_7M,TF_9K,TC_11E,TF_13B,F1C_19A,FF_21J,TF_22A,FF_23C,F1F_24A,TC_26B,TC_27A,F1C_29A,F1F_31A,F1F_33A,FF_35C,F1C_37,FF_39A,FF_39E,FF_39J,FC_42B,TF_43A,TC_44A,FC_45A,FC_46F,TF_379,FC_41B,TF_787,FF_801,FC_974,F1C_4208,F1F_4563,F1F_4590
novel_11_122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_11_123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_11_124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_11_125,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_11_126,266,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_11_127,0,50,11,28,30,0,0,0,0,34,0,0,0,37,29,0,31,16,23,0,0,0,25,0,0,17,40,0,46,0,30,48,25,0,0,7,25
novel_11_128,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
novel_11_129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
novel_11_130,12,17,9,42,28,27,34,13,91,54,55,21,59,23,27,35,29,9,14,40,23,36,52,39,28,0,39,33,47,44,70,55,20,35,18,15,21
novel_11_131,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
novel_11_132,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_11_133,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_11_134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
novel_11_135,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0
novel_11_136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_11_137,0,0,0,0,6,0,0,0,10,10,0,9,9,0,8,8,0,0,0,0,0,0,6,7,0,0,11,7,7,7,6,0,0,0,0,6,7
novel_11_138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,3,3,0,0,0,0
novel_11_139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novel_11_140,0,0,0,0,0,0,0,0,37,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,18,25,0,0,27,0,0,0,14,0,0,0
