,baseMean,baseVar,allZero,dispGeneEst,dispFit,dispersion,dispIter,dispOutlier,dispMAP,Intercept,migroupF1.C,migroupF1.F,migroupFS.C,migroupFS.F,migroupTX.C,migroupTX.F,SE_Intercept,SE_migroupF1.C,SE_migroupF1.F,SE_migroupFS.C,SE_migroupFS.F,SE_migroupTX.C,SE_migroupTX.F,MLE_Intercept,MLE_migroup_F1.F_vs_F1.C,MLE_migroup_FS.C_vs_F1.C,MLE_migroup_FS.F_vs_F1.C,MLE_migroup_TX.C_vs_F1.C,MLE_migroup_TX.F_vs_F1.C,WaldStatistic_Intercept,WaldStatistic_migroupF1.C,WaldStatistic_migroupF1.F,WaldStatistic_migroupFS.C,WaldStatistic_migroupFS.F,WaldStatistic_migroupTX.C,WaldStatistic_migroupTX.F,WaldPvalue_Intercept,WaldPvalue_migroupF1.C,WaldPvalue_migroupF1.F,WaldPvalue_migroupFS.C,WaldPvalue_migroupFS.F,WaldPvalue_migroupTX.C,WaldPvalue_migroupTX.F,betaConv,betaIter,deviance,maxCooks,replace
oar-let-7a,290602.721582158,8908204121.13962,FALSE,0.1028179683,0.4221328969,0.0838263106,11,FALSE,0.0838263106,18.1263215505,-0.2020287394,-0.0307275036,0.1255419667,0.0448141562,-0.0689333574,0.1313436676,0.0708434736,0.1721699146,0.1406033979,0.1586003764,0.1342691102,0.1586011908,0.1342697726,17.9085300794,0.1857008906,0.3511052666,0.2643431954,0.1445727683,0.354221942,255.8643814931,-1.1734264945,-0.2185402635,0.7915615938,0.3337637087,-0.4346332904,0.9782072688,0,0.2406248177,0.8270081906,0.4286163484,0.7385578708,0.6638286269,0.3279718221,TRUE,4,934.5823077895,0.065928234,FALSE
oar-let-7b,117354.291432204,4163218167.11753,FALSE,0.2390677301,0.4222978491,0.2227369681,8,FALSE,0.2227369681,16.7919436747,-0.0373382955,-0.0427360845,-0.1265233303,0.04917287,-0.2071665319,0.3646008122,0.1149313965,0.2521951824,0.2133668247,0.2360735091,0.2050502517,0.2360743629,0.2050506251,16.7468846135,-0.0027207601,-0.1024851534,0.0992921034,-0.1966888773,0.4467651202,146.1040601555,-0.1480531672,-0.2002939518,-0.5359488695,0.2398088741,-0.8775477751,1.7781014421,0,0.8823008092,0.8412506925,0.5919938883,0.8104784272,0.3801891814,0.0753871957,TRUE,4,901.2877797947,0.0321505445,FALSE
oar-let-7c,151174.519942354,4974259241.17248,FALSE,0.2016844358,0.4222359497,0.2187803222,9,FALSE,0.2187803222,17.1838002543,-0.0634466051,-0.1164819037,-0.0582354368,0.0432902627,-0.0183743596,0.2132577027,0.1139191088,0.2506679328,0.2118785308,0.2345462309,0.2035856071,0.2345466672,0.2035861164,17.1074456061,-0.0536699597,0.0086537376,0.1240215854,0.0550004382,0.3110460846,150.842123284,-0.2531101779,-0.5497579357,-0.2482898,0.2126391119,-0.0783398878,1.0475061193,0,0.8001830741,0.5824854135,0.8039101904,0.8316084622,0.937557689,0.2948662114,TRUE,4,919.9445676172,0.0269262141,FALSE
oar-let-7d,9230.8929044779,2396052.21033594,FALSE,0.0279983325,0.4255387396,0.0319539645,12,FALSE,0.0319539645,13.1552471661,-0.2049430547,0.1193282548,0.0171205238,0.0242088674,0.0402376273,0.0040551769,0.0439137255,0.1112123123,0.0894483075,0.1016727222,0.085184686,0.1017003401,0.0852318609,12.944199757,0.3323985187,0.2285740774,0.235615427,0.2522400884,0.2151628538,299.5702825006,-1.8428090413,1.3340470944,0.1683885647,0.2841927171,0.3956488966,0.0475781811,0,0.0653568963,0.1821884228,0.8662776037,0.7762626964,0.6923640601,0.9620524213,TRUE,4,643.7477754972,0.0659249257,FALSE
oar-let-7f,104863.582225894,850302779.905962,FALSE,0.0535311796,0.4223308063,0.0552679557,8,FALSE,0.0552679557,16.658891283,-0.2051984327,-0.2113723504,0.222309268,0.2935075724,0.1099555318,-0.209192224,0.057593576,0.1431315784,0.1159492603,0.1313594004,0.110565393,0.1313616714,0.1105711259,16.4431544841,-0.0018291074,0.4471164515,0.5167331935,0.3301859666,0.0011824483,289.2491216792,-1.4336349462,-1.822972823,1.6923742599,2.654606152,0.8370442508,-1.8919245172,0,0.1516764655,0.0683075071,0.0905746369,0.0079401053,0.4025676951,0.0585010386,TRUE,4,843.0973863998,0.0927656506,FALSE
oar-let-7g,22954.741944923,41433528.0338881,FALSE,0.0694022968,0.4234357014,0.0647052739,9,FALSE,0.0647052739,14.4612710494,-0.2727899561,0.0993727927,0.2058099703,-0.0680283589,-0.0902153108,0.1258589926,0.0623107192,0.1537129234,0.1248489641,0.1412255549,0.1191106075,0.1412398023,0.1191183732,14.1720342016,0.3920090148,0.5048787694,0.2191684673,0.1946893932,0.4188637477,232.0831989213,-1.7746715764,0.7959440705,1.4573139429,-0.5711360254,-0.63873858,1.0565875713,0,0.0759521312,0.4260645444,0.1450297398,0.56790744,0.5229930103,0.2906998552,TRUE,4,737.0834101246,0.1638904548,FALSE
oar-let-7i,70505.4039999684,120576809.199317,FALSE,0.0242401139,0.4224816998,0.0260547488,12,FALSE,0.0260547488,16.1070238488,-0.003764509,-0.0276855514,-0.0618971378,-0.07998838,0.1164483997,0.0568962333,0.0396005686,0.1007428177,0.0809131731,0.0920900694,0.0770411045,0.0920921887,0.077046091,16.1031682714,-0.0242117996,-0.0592367856,-0.0770981841,0.1225500454,0.0614382846,406.7371865166,-0.0373675179,-0.3421637087,-0.6721369436,-1.0382558829,1.2644764061,0.7384700852,0,0.9701919715,0.7322276949,0.5014965194,0.2991509419,0.206059084,0.4602288392,TRUE,3,786.4247994614,0.1330129971,FALSE
oar-miR-103,5990.2078029855,1498545.65958081,FALSE,0.0349712579,0.4274417387,0.0364185737,12,FALSE,0.0364185737,12.5394124868,-0.0215671922,-0.0308870089,-0.0912542472,-0.1554670605,0.0958308185,0.2033517396,0.0469001105,0.1183278604,0.0953345142,0.1082606883,0.0908077878,0.1082807237,0.0908285028,12.5171137187,-0.0091865249,-0.0714281646,-0.135803926,0.1207233047,0.2290945764,267.3642417177,-0.1822663923,-0.3239855907,-0.8429121287,-1.7120454554,0.8850219613,2.2388538105,0,0.8553736719,0.7459489433,0.3992775897,0.086888292,0.3761447868,0.0251654297,TRUE,3,616.4363270326,0.0582027112,FALSE
oar-miR-106b,142.4879832769,2257.8191078127,FALSE,0.0918305266,0.6499026885,0.1007184317,11,FALSE,0.1007184317,7.1472643344,-0.0584488781,0.0613649591,0.4317601568,0.0314247923,-0.3383963927,-0.1277006194,0.0805135482,0.192527902,0.1579400168,0.1753262072,0.1504725584,0.1781527951,0.152223808,7.0829225049,0.1292292076,0.5292161895,0.0973228562,-0.3017571138,-0.0698410323,88.7709521547,-0.3035865323,0.38853332,2.4626104889,0.2088406857,-1.8994728237,-0.838900439,0,0.7614429133,0.6976214012,0.0137929668,0.8345726089,0.0575023365,0.4015251814,TRUE,5,379.3074754289,0.0495833733,FALSE
oar-miR-107,1798.753623824,204051.366570207,FALSE,0.0624438959,0.4400727613,0.0638342473,8,FALSE,0.0638342473,10.8077466902,-0.0684432836,-0.0090319537,-0.0861286108,0.0038815641,0.1362509033,0.0234774564,0.0621600553,0.1534438383,0.1246063679,0.1408188551,0.1188046919,0.1408554565,0.1189528893,10.7352076826,0.0631991114,-0.0176967994,0.0765362,0.2152710773,0.0967181706,173.8696440855,-0.4460477813,-0.0724838852,-0.6116269776,0.0326718085,0.9673100828,0.1973676852,0,0.6555627316,0.9422168295,0.5407845849,0.9739363054,0.3333890447,0.8435398157,TRUE,4,548.6810869585,0.0381246999,FALSE
oar-miR-10a,78474.4835221799,1383313572.53698,FALSE,0.2246136422,0.4224349322,0.2884447607,11,FALSE,0.2884447607,16.2624036803,0.111339957,0.2193078406,-0.1094070998,-0.0803657165,0.0328877718,-0.1737536108,0.1305452184,0.2738665872,0.2351451302,0.2580611802,0.2265942693,0.2580615987,0.2265958368,16.4031664072,0.111622634,-0.2737299494,-0.2318971938,-0.1008673147,-0.3379015142,124.5729555115,0.4065481595,0.9326488725,-0.4239579922,-0.3546679127,0.1274415563,-0.7667996605,0,0.6843398787,0.3510012909,0.6715964496,0.7228383921,0.8985909272,0.4432006382,TRUE,4,880.2375155789,0.1366165741,FALSE
oar-miR-10b,1182033.64156658,248689409966.206,FALSE,0.138843092,0.4220486322,0.1487473654,8,FALSE,0.1487473654,20.1456629539,0.0564891561,-0.2717808864,0.5468146889,0.2477480909,-0.3600447343,-0.2192149899,0.0941444589,0.217852849,0.181012649,0.2022699779,0.173390092,0.2022702752,0.1733903585,20.2099071023,-0.3575674097,0.5415758384,0.2004589781,-0.4645012354,-0.2986294908,213.9867092615,0.2592995976,-1.5014469315,2.7033902642,1.4288480268,-1.7800180174,-1.2642859259,0,0.7954040899,0.1332400029,0.0068636107,0.1530479183,0.0750730121,0.2061274193,TRUE,5,1057.1801402259,0.1259548639,FALSE
oar-miR-125b,193560.681767633,4563582842.24657,FALSE,0.1204638854,0.4221889153,0.1857689821,11,FALSE,0.1857689821,17.5453647084,-0.0212413213,-0.0491810594,0.2484524197,0.2401668461,-0.2240552296,-0.1941317921,0.105081648,0.2367011587,0.1984996721,0.2206905744,0.1904570288,0.2206915915,0.1904583427,17.5204645721,-0.0291215236,0.3071313843,0.2855691484,-0.2303108352,-0.1860199486,166.9688765363,-0.089738983,-0.2477639328,1.1257953377,1.2610027974,-1.0152413513,-1.0192874164,0,0.9284946369,0.8043170624,0.2602521581,0.2073078393,0.3099907936,0.3080665362,TRUE,4,932.2441827562,0.0900346864,FALSE
oar-miR-127,211829.484479113,3404689309.16475,FALSE,0.0488008725,0.4221744478,0.0523029925,8,FALSE,0.0523029925,17.6611402516,0.0680429223,0.2388267026,-0.421239683,-0.2316507746,0.1231953263,0.222835435,0.0560315596,0.1395755181,0.1129711875,0.1280509659,0.1077137853,0.1280503656,0.1077140135,17.7324733217,0.1740859645,-0.5089816285,-0.308602662,0.0566260444,0.1568868611,315.1998693613,0.4874989773,2.1140496777,-3.2896251902,-2.1506140005,0.9620849248,2.068769213,0,0.6259047674,0.0345110246,0.0010032092,0.0315066793,0.3360069461,0.0385677488,TRUE,5,892.9415515562,0.0497120317,FALSE
oar-miR-133,3886.3340599815,5740356.6486503,FALSE,0.3541368781,0.4303761772,0.3563088548,7,FALSE,0.3563088548,11.8717050516,-0.002454776,-0.4542352701,0.1190699489,-0.1388678002,-0.0258312136,0.5023257849,0.144896433,0.2907202607,0.2532001031,0.2756546164,0.2446131667,0.2756699744,0.2446094809,11.8684374559,-0.5393394588,0.153433249,-0.1587033721,-0.0294000246,0.5862127058,81.9323485183,-0.0084437736,-1.7939774293,0.4319534006,-0.5677037014,-0.0937033989,2.0535826452,0,0.9932629235,0.0728167715,0.665775282,0.5702361778,0.9253447702,0.0400161033,TRUE,6,662.43418137,0.0295062515,FALSE
oar-miR-134-3p,12.2989516489,27.57706397,FALSE,0.0781164748,3.0621144014,0.1264429777,9,FALSE,0.1264429777,3.6163290961,0.251954282,0.1950854271,-0.2431685484,0.0535971729,-0.0185217632,-0.2389445374,0.1112710413,0.2443525204,0.2072028192,0.2280063656,0.1975670019,0.2303361915,0.2081199657,3.9141133008,-0.0815141489,-0.5775411867,-0.2392641425,-0.3191292448,-0.5643737731,32.5001820303,1.031109815,0.9415191734,-1.0664989455,0.2712860567,-0.0804118669,-1.1481096331,1.05998942605609E-231,0.3024893256,0.3464388683,0.2861981551,0.7861710296,0.9359096891,0.2509233079,TRUE,6,220.9898281324,0.0544819036,FALSE
oar-miR-134-5p,65.1508562071,509.664680237,FALSE,0.0835886309,0.9204087659,0.0968859111,12,FALSE,0.0968859111,6.0457782416,0.3345002355,0.2867269231,-0.0073462617,-0.0904418837,-0.0561717615,-0.4672638529,0.0821078626,0.1939170648,0.1598936932,0.1782126632,0.1535018545,0.1803775126,0.1585843281,6.4138509877,-0.0646754156,-0.376009232,-0.4632272794,-0.4289496518,-0.862153956,73.6321474422,1.7249654424,1.7932347264,-0.0412218839,-0.5891908214,-0.3114122191,-2.9464692929,0,0.0845337005,0.0729353996,0.9671190076,0.5557332737,0.7554872659,0.0032142433,TRUE,5,323.1479138023,0.1033374452,FALSE
oar-miR-136,14.0587086911,50.0418497635,FALSE,0.1664480152,2.7316485833,0.1989706182,11,FALSE,0.1989706182,3.8391000783,0.0291505716,-0.1432171557,0.0270439876,-0.2588584882,0.0261990169,0.319684226,0.1267063203,0.2701358715,0.2335062975,0.2479399206,0.2232447227,0.2519017833,0.2212585983,3.875289988,-0.2011293738,-0.0041268005,-0.3284053233,-0.0048664073,0.321865903,30.2991995183,0.1079107762,-0.6133331617,0.1090747611,-1.1595279164,0.1040048886,1.4448443065,1.17451934327065E-201,0.9140664689,0.5396560706,0.9131431932,0.2462410642,0.917165469,0.1485016228,TRUE,6,238.3117811793,0.5382521466,FALSE
oar-miR-143,636005.921353169,59866754676.1698,FALSE,0.104562917,0.4220722159,0.1113914698,7,FALSE,0.1113914698,19.2520535009,-0.0507951361,-0.4619582154,0.4303353086,-0.0071731613,-0.1499647169,0.2395667441,0.0815785666,0.1941188527,0.1597244592,0.1794347327,0.1527316661,0.1794352206,0.1527318247,19.1960104841,-0.4333927437,0.5214442649,0.0485000121,-0.1063447456,0.307907542,235.9940153168,-0.2616702879,-2.8922196249,2.3982832199,-0.0469657767,-0.8357596489,1.5685450266,0,0.7935756493,0.0038253044,0.0164721234,0.9625405036,0.403290131,0.1167539904,TRUE,5,1001.4979114577,0.078561455,FALSE
oar-miR-148a,15444.4357832189,40236154.1357295,FALSE,0.1428057397,0.4241235621,0.1374395779,6,FALSE,0.1374395779,13.9164215884,0.1429587314,-0.1578358315,0.4142673878,0.0212197067,-0.2934317196,-0.1271704515,0.0905538993,0.2112930453,0.1750621021,0.1959077151,0.1675946217,0.1959279857,0.1676095475,14.0774594854,-0.3304002657,0.2947962428,-0.1384685306,-0.4846629631,-0.296325029,153.6810861022,0.6765898574,-0.9015990872,2.1146047646,0.1266132913,-1.4976508765,-0.7587303549,0,0.4986662161,0.3672698761,0.0344636472,0.8992464767,0.134223981,0.4480138747,TRUE,5,734.4822023499,0.2044381096,FALSE
oar-miR-150,2359.1563376336,1166499.17054832,FALSE,0.1983562767,0.4357847178,0.1855317622,7,FALSE,0.1855317622,11.1731047908,0.0611583227,-0.1915821811,-0.3379908161,0.197500979,0.1297633701,0.1411566066,0.1051456516,0.2368136579,0.1986363328,0.2207819805,0.1905233491,0.220769405,0.1905823428,11.2447566222,-0.2822219203,-0.4569513764,0.1427441773,0.075864495,0.0816135749,106.2631180669,0.2582550483,-0.9644871026,-1.5308804431,1.0366234896,0.5877778675,0.7406594154,0,0.796210076,0.3348017715,0.1257989435,0.2999113617,0.5566814016,0.4588999728,TRUE,5,606.1303741282,0.0975150398,FALSE
oar-miR-152,581.9419774064,22676.9209844916,FALSE,0.0546087078,0.4778177543,0.0593676745,10,FALSE,0.0593676745,9.1704372915,-0.1034976625,0.2754045161,0.1074016859,-0.0785665807,-0.1368391808,-0.0638976227,0.0606169286,0.1502125844,0.1215201763,0.1371957685,0.1159951094,0.1377530004,0.1164847034,9.0610373126,0.393663618,0.221618563,0.0286108197,-0.0336545159,0.0436648613,151.2850865545,-0.6890079344,2.2663274889,0.7828352663,-0.6773266657,-0.9933662453,-0.5485494736,0,0.4908182745,0.0234313396,0.4337238551,0.4981987157,0.320531505,0.5833146684,TRUE,4,463.0640531917,0.051538434,FALSE
oar-miR-154b-5p,405.4151326241,24760.9385678439,FALSE,0.0991081548,0.5021128424,0.1047837294,8,FALSE,0.1047837294,8.6126000989,0.0893341087,0.161391304,-0.5961067107,-0.2069373578,0.237555852,0.3147676455,0.0801671045,0.1913645716,0.157224911,0.1769486383,0.1504121075,0.1764427768,0.1504111823,8.7108188166,0.0723143916,-0.742750935,-0.3155150353,0.1580542157,0.2322034187,107.4330943139,0.4668267904,1.0264995732,-3.3688120834,-1.3758025288,1.3463620123,2.0927143889,0,0.6406238068,0.3046561647,0.0007549288,0.1688827783,0.1781857957,0.036374658,TRUE,6,455.3271242185,0.0365331462,FALSE
oar-miR-16b,74618.0727027969,174749048.827406,FALSE,0.0313703352,0.4224563167,0.0326991159,13,FALSE,0.0326991159,16.1807869058,-0.1106210107,-0.0723487931,0.0703799057,0.0686612631,0.0404995991,0.0034381324,0.0443477811,0.1122169465,0.0903068146,0.1026715464,0.0860137111,0.1026753717,0.0860198534,16.0668118456,0.0403737857,0.1860585963,0.183675423,0.1554553312,0.1174652515,364.8612516028,-0.9857781214,-0.8011443372,0.6854859807,0.7982595122,0.3944431698,0.0399690562,0,0.3242420042,0.4230480911,0.4930373043,0.4247199082,0.693253877,0.9681177961,TRUE,4,799.1650643527,0.1569602529,FALSE
oar-miR-17-5p,321.5456095353,26171.0884883533,FALSE,0.26075249,0.52300335,0.266881264,7,FALSE,0.266881264,8.3093405313,-0.167217135,0.1913392265,0.1085171025,0.0844818808,-0.1211356687,-0.095980735,0.1264469654,0.2687044598,0.2295915282,0.2522760689,0.2210051381,0.2525790956,0.2214297582,8.0996377152,0.4281510717,0.3396845293,0.3046769157,0.0641195559,0.1016644106,65.7140367395,-0.6223087444,0.833389751,0.4301521861,0.3822620666,-0.4795949896,-0.4334590606,0,0.5337388724,0.404624953,0.6670849405,0.7022669885,0.6315154098,0.6646813018,TRUE,4,471.4134451553,0.0666761097,FALSE
oar-miR-181a,472588.419708556,16511209288.023,FALSE,0.0727450911,0.4220898698,0.0807495551,7,FALSE,0.0807495551,18.8321178922,0.0573188598,-0.0966883901,-0.1046713569,0.2424790438,-0.0810811325,-0.0173464373,0.0695389457,0.1694023524,0.1382253798,0.1559909609,0.1319782807,0.1559912946,0.1319790124,18.8937138281,-0.162419899,-0.172539686,0.189916603,-0.1475334726,-0.0795907946,270.8139692203,0.3383592905,-0.6994980967,-0.6710091166,1.8372647563,-0.5197798549,-0.1314333012,0,0.7350924483,0.4842408021,0.5022147218,0.0661708201,0.6032170217,0.8954325466,TRUE,4,969.0738592502,0.0672751076,FALSE
oar-miR-191,189015.847901313,653626334.893711,FALSE,0.0182891077,0.4221929488,0.0231892488,13,FALSE,0.0231892488,17.5245232987,-0.0629180785,0.0352396915,-0.045638498,-0.0147372345,0.0815908083,0.006473163,0.0373578836,0.0952582086,0.0764413087,0.0870452799,0.072773777,0.0870463821,0.0727763382,17.4602535166,0.0999417445,0.0178472605,0.0493743427,0.1472612263,0.0708124365,469.0983963133,-0.6605003323,0.4610032471,-0.524307557,-0.2025074848,0.9373256686,0.0889459837,0,0.5089328053,0.6447962754,0.6000646416,0.8395200076,0.3485910632,0.9291248387,TRUE,3,855.0393461756,0.0988428343,FALSE
oar-miR-194,163.8250584454,1896.4104446477,FALSE,0.0567205897,0.6202227037,0.0631590155,12,FALSE,0.0631590155,7.3721095265,0.0111757834,-0.052829622,0.3659921496,-0.0986811899,-0.1452402029,-0.0804127738,0.0646125348,0.1591869641,0.1296720839,0.1438043414,0.1231357514,0.1461924621,0.1245567349,7.38400323,-0.0666942423,0.3720903581,-0.1137426956,-0.1646479679,-0.094945248,114.0972034776,0.0702053935,-0.4074093703,2.5450702388,-0.8014016139,-0.9934862635,-0.6455915363,0,0.9440301816,0.683707346,0.0109255759,0.4228991811,0.3204730414,0.51854392,TRUE,5,373.8664587084,0.1772942361,FALSE
oar-miR-199a-3p,53484.9841440236,110914774.19976,FALSE,0.0387517392,0.4226282557,0.0505489264,12,FALSE,0.0505489264,15.6997246719,-0.1565841905,0.0382659475,0.174719281,0.0710788228,-0.0172642175,-0.1102068174,0.0550965223,0.1374397469,0.1111842337,0.1260516319,0.1059971515,0.1260574433,0.106005505,15.5357915886,0.2032221944,0.3451790688,0.2366743315,0.1460222693,0.0511443844,284.9494674119,-1.1392933563,0.3441670298,1.3860929715,0.6705729525,-0.1369551611,-1.0396329645,0,0.2545808185,0.7307206758,0.1657185163,0.5024926178,0.8910662373,0.2985104557,TRUE,4,790.6902864941,0.0199952628,FALSE
oar-miR-19b,88.2024653457,1857.3383048841,FALSE,0.1634183523,0.79015576,0.173909976,10,FALSE,0.173909976,6.4540216808,0.2647335026,-0.2221625697,0.511945425,0.07417355,-0.5059908177,-0.122695462,0.1052937079,0.2364614441,0.1997999974,0.2186702865,0.190153464,0.2224389702,0.192168846,6.7628531921,-0.5534345586,0.2697260161,-0.2283517785,-0.887594955,-0.4422983589,61.2954164789,1.1195630798,-1.1119247876,2.3411750779,0.3900720419,-2.2747399761,-0.6384773837,0,0.2628999961,0.26617049,0.0192231503,0.6964832759,0.0229215329,0.5231629716,TRUE,6,361.5181045269,0.1342924644,FALSE
oar-miR-200a,30.4629355258,203.3014087284,FALSE,0.143841298,1.4879190653,0.1639207909,11,FALSE,0.1639207909,4.8684960236,-0.0802841299,0.4438587501,0.010417962,0.1743132958,-0.3969291857,-0.1513739554,0.1092136293,0.2450154528,0.2023666202,0.2236851995,0.1944446111,0.2301220774,0.2002535088,4.7728597032,0.5840210679,0.1075276299,0.2854293687,-0.3631044144,-0.071097598,44.5777331565,-0.327669659,2.1933397399,0.0465742123,0.89646761,-1.7248635602,-0.7559116257,0,0.7431614465,0.0282829105,0.9628525853,0.3700030718,0.0845520639,0.4497021831,TRUE,5,285.6863004505,0.0236333039,FALSE
oar-miR-200b,34.3210635479,277.6826937583,FALSE,0.1579763678,1.3680984612,0.1753370768,11,FALSE,0.1753370768,5.0142646954,-0.4465217971,0.2303951924,0.0325181687,0.2005612351,-0.1756618307,0.1587118505,0.1114463221,0.2517460194,0.2071686923,0.2273283554,0.1977416773,0.2311711893,0.2007827779,4.4723086766,0.7972303713,0.5793027666,0.761107012,0.3390677573,0.7166878775,44.992643998,-1.7736995334,1.1121139487,0.1430449301,1.0142587938,-0.7598776961,0.7904654578,0,0.0761128637,0.2660891601,0.8862546969,0.3104592807,0.4473276948,0.4292559874,TRUE,6,295.3739872796,0.0784710324,FALSE
oar-miR-200c,15.9906741846,163.0494262827,FALSE,0.482370464,2.452603408,0.5157191243,9,FALSE,0.5157191243,3.9240992744,0.229027541,0.4125615572,-0.4610230452,-0.6315253656,0.324602589,0.1263589296,0.1849960444,0.3230478721,0.2921628709,0.3123870526,0.2884919011,0.3106728287,0.286797165,4.2713388207,0.185853961,-1.0279038092,-1.1730259423,0.1061948479,-0.1855419782,21.2118009729,0.7089585191,1.4120944114,-1.475807148,-2.1890575202,1.0448373948,0.440586397,7.43129184858336E-100,0.4783502186,0.1579221641,0.1399956713,0.0285926596,0.2960981285,0.6595124525,TRUE,8,267.1957155166,0.1155036756,FALSE
oar-miR-21,9662.2235563685,21227104.8355281,FALSE,0.2262966762,0.4253817116,0.2128776361,7,FALSE,0.2128776361,13.2400324316,-0.0222393854,0.2351788092,0.076923217,-0.4716498933,0.2204190408,-0.0386243452,0.1124195789,0.2483818354,0.2096539993,0.2322502633,0.2014093075,0.2322543032,0.2014121819,13.2134003817,0.288062063,0.1156343138,-0.4922776105,0.2813998088,-0.015805021,117.773367977,-0.0895370845,1.1217473076,0.331208309,-2.3417482491,0.9490417954,-0.191767672,0,0.9286550828,0.2619698959,0.7404871444,0.0191936567,0.3425993553,0.8479241949,TRUE,5,714.5272769214,0.0387516338,FALSE
oar-miR-218a,247.296519749,4243.0811164585,FALSE,0.0617623088,0.5533225616,0.0674366465,9,FALSE,0.0674366465,7.959050493,-0.069174642,-0.2189432986,0.148119521,0.095467042,0.1197083077,-0.0751724558,0.0655926849,0.1613952508,0.1316812671,0.1468647782,0.1245888313,0.1475346686,0.1258779512,7.885266963,-0.1536010435,0.229580076,0.1723833322,0.1997789125,-0.0039116207,121.3405200491,-0.4286039498,-1.6626761231,1.0085435243,0.7662568227,0.8113910364,-0.5971852505,0,0.6682114706,0.0963772842,0.313193604,0.4435235039,0.4171411451,0.5503837055,TRUE,4,405.2287549859,0.1763663799,FALSE
oar-miR-22-3p,195377.613851215,7809618011.06534,FALSE,0.1696769755,0.4221873552,0.13819132,11,FALSE,0.13819132,17.548758019,-0.1995022124,0.2546902242,-0.1629278013,-0.373791211,0.3568196118,0.124721254,0.090777305,0.2117082236,0.1754296722,0.1963220888,0.1679614108,0.1963218438,0.1679614753,17.3235066613,0.49843869,0.0455538938,-0.17264692,0.6181301107,0.3579274961,193.3165786196,-0.9423451249,1.4518081293,-0.8299005081,-2.2254588663,1.81752374,0.7425586959,0,0.3460159722,0.1465549629,0.4065950376,0.0260504495,0.0691369566,0.4577489031,TRUE,5,922.0094786397,0.030243231,FALSE
oar-miR-221,3138.0378266457,693008.549428894,FALSE,0.0660244793,0.4323685134,0.0645906255,8,FALSE,0.0645906255,11.6278779547,-0.0143500419,-0.0769111192,0.1294676233,-0.2103307075,0.1384111694,0.0337196128,0.0623956554,0.1539205949,0.1250442469,0.1413262596,0.1192776446,0.1413768938,0.1193280748,11.612664216,-0.0643428432,0.1508818129,-0.2014536126,0.1602588281,0.0499484575,186.3571729991,-0.0932301617,-0.6150712337,0.9160903546,-1.7633707317,0.9790225663,0.2825790399,0,0.9257207132,0.5385076785,0.3596195063,0.0778379828,0.3275688296,0.7774995495,TRUE,4,589.9908985134,0.1171348215,FALSE
oar-miR-23a,5979.7350229814,1868990.65558108,FALSE,0.0372601976,0.4274512322,0.0412435099,12,FALSE,0.0412435099,12.5280046971,-0.2335739774,-0.2185705792,0.3147747843,-0.0004218526,-0.0017242547,0.1395229224,0.0498899147,0.1254133812,0.1011818546,0.1147537116,0.0963636907,0.1148225885,0.0964067048,12.2854328462,0.0191983605,0.5669532558,0.2421419102,0.2407947178,0.3847701728,251.1129709537,-1.8624326629,-2.1601756554,2.7430466505,-0.0043777131,-0.0150166854,1.447232563,0,0.0625421287,0.030759074,0.0060872037,0.9965071015,0.9880188689,0.1478317993,TRUE,4,620.6713373348,0.0557356822,FALSE
oar-miR-23b,10685.4534657129,21675456.2842581,FALSE,0.1217346443,0.4250599083,0.1338690363,8,FALSE,0.1338690363,13.3505490961,-0.2333348926,-0.3928422631,0.2863035312,-0.1800582824,0.1636097882,0.356329624,0.0893934271,0.2091498178,0.1731270534,0.1938196377,0.1657067437,0.193831668,0.1657066526,13.0879756393,-0.1583873481,0.5769949421,0.0713072159,0.4423206249,0.6408339061,149.3459813409,-1.1156351705,-2.2690980724,1.4771647218,-1.0866080545,0.8440818257,2.1503640225,0,0.264578331,0.0232623626,0.1396314878,0.2772100639,0.3986236828,0.0315264318,TRUE,5,705.5978944456,0.0289904704,FALSE
oar-miR-25,31431.4838872576,60769689.4137564,FALSE,0.0521005379,0.423054215,0.0630909318,8,FALSE,0.0630909318,14.9241863912,0.0322324426,-0.1278971201,0.1836430055,0.3023993654,-0.1869771036,-0.2033921999,0.0615264622,0.1519613979,0.1233825417,0.1396011147,0.1176935922,0.1396133459,0.1177111938,14.9583004122,-0.166288274,0.1580858678,0.2770916015,-0.2298579674,-0.2434616698,242.565326346,0.2121094111,-1.0365900906,1.3154838041,2.5693783303,-1.3392494992,-1.7278917429,0,0.8320216777,0.2999269334,0.188347357,0.0101881161,0.180489463,0.084007635,TRUE,4,758.9958955332,0.0626425801,FALSE
oar-miR-26a,668353.959892387,30473702064.6574,FALSE,0.0641366211,0.4220697449,0.0795802088,8,FALSE,0.0795802088,19.3332323429,-0.0775217392,-0.1528650888,0.2369661866,0.234688691,-0.1524875951,-0.0887695859,0.0690364958,0.1683311533,0.1373064131,0.1549812441,0.1310934244,0.1549817373,0.1310940048,19.2499881816,-0.0760697233,0.3341071637,0.3265506863,-0.0782574122,-0.0087985674,280.0436511308,-0.4605311475,-1.1133135398,1.5289991252,1.7902399913,-0.9839068634,-0.6771445121,0,0.6451350197,0.2655737933,0.1262646608,0.0734153386,0.3251613088,0.4983142694,TRUE,4,993.9551943117,0.1377686289,FALSE
