,baseMean,baseVar,allZero,dispGeneEst,dispFit,dispersion,dispIter,dispOutlier,dispMAP,Intercept,migroupF1.C,migroupF1.F,migroupFS.C,migroupFS.F,migroupTX.C,migroupTX.F,SE_Intercept,SE_migroupF1.C,SE_migroupF1.F,SE_migroupFS.C,SE_migroupFS.F,SE_migroupTX.C,SE_migroupTX.F,MLE_Intercept,MLE_migroup_F1.F_vs_F1.C,MLE_migroup_FS.C_vs_F1.C,MLE_migroup_FS.F_vs_F1.C,MLE_migroup_TX.C_vs_F1.C,MLE_migroup_TX.F_vs_F1.C,WaldStatistic_Intercept,WaldStatistic_migroupF1.C,WaldStatistic_migroupF1.F,WaldStatistic_migroupFS.C,WaldStatistic_migroupFS.F,WaldStatistic_migroupTX.C,WaldStatistic_migroupTX.F,WaldPvalue_Intercept,WaldPvalue_migroupF1.C,WaldPvalue_migroupF1.F,WaldPvalue_migroupFS.C,WaldPvalue_migroupFS.F,WaldPvalue_migroupTX.C,WaldPvalue_migroupTX.F,betaConv,betaIter,deviance,maxCooks,replace
oar-miR-412-3p,219.3629320697,36770.2848615844,FALSE,0.4335810237,0.5700424291,0.4373777226,7,FALSE,0.4373777226,7.7223430705,0.0920322308,0.4907960225,-0.4192138508,-0.4983644864,0.2853398562,0.049414569,0.1611047383,0.3063829916,0.2710582486,0.2926202456,0.2630712023,0.2924641048,0.263057863,7.8515969314,0.4716219004,-0.6926656568,-0.7336519217,0.2465288481,-0.0697310141,47.9336806119,0.3003829631,1.8106662496,-1.4326208014,-1.8944091256,0.9756406052,0.1878467664,0,0.7638850575,0.0701925303,0.1519662338,0.0581707261,0.329242595,0.850996774,TRUE,7,454.7204394399,0.1322967515,FALSE
oar-miR-412-5p,11.0899688343,75.9859210647,FALSE,0.3532809302,3.3499265136,0.4007085814,10,FALSE,0.4007085814,3.4211319111,0.0880981549,0.5197240342,-0.5431881927,-0.4485677554,0.3793381499,0.0045975324,0.1709941251,0.3144655895,0.2780987007,0.3024611648,0.2757745541,0.2982528301,0.2754966778,3.5497305364,0.5146603116,-0.8887937516,-0.688404197,0.3791208943,-0.1229109635,20.007306734,0.2801519716,1.8688474016,-1.7958940053,-1.62657413,1.2718677299,0.016688159,4.75663385374147E-89,0.7793609129,0.0616440479,0.072511376,0.1038275774,0.2034201192,0.9866853936,TRUE,7,237.3621478344,0.0613603599,FALSE
oar-miR-431,17.0325271877,488.0911805544,FALSE,1.1231721408,2.3283958734,1.1515366942,7,FALSE,1.1515366942,4.0495471488,0.2870386716,0.1006340259,-0.0667766255,-0.4482873756,-0.2096387056,0.3370322858,0.2645459325,0.3419214749,0.3347576871,0.3408755972,0.331425828,0.341057579,0.3310890075,4.6226963809,-0.4091722284,-0.7003506616,-1.2990358872,-0.9863510069,-0.059689172,15.3075388856,0.8394871122,0.3006175207,-0.1958973481,-1.352602416,-0.6146724733,1.0179506966,6.80921410751461E-53,0.4011960183,0.7637061696,0.844690513,0.1761826802,0.5387710421,0.3087013872,TRUE,8,283.6864579319,0.822458049,FALSE
oar-miR-432,1677.0025456486,766145.644043203,FALSE,0.1652399472,0.4413833148,0.1615844922,6,FALSE,0.1615844922,10.6526478264,0.1404456784,0.3106949036,-0.5431847826,-0.5697796256,0.3251875772,0.3366422376,0.098281589,0.2251808227,0.1877150412,0.2094221127,0.1800319186,0.2093305549,0.179959431,10.8140383669,0.1757054053,-0.7713683716,-0.7746667855,0.2023185821,0.2003405086,108.3890476214,0.6237017734,1.6551412272,-2.5937317486,-3.16488115,1.5534644588,1.8706562683,0,0.5328234582,0.0978958538,0.009494053,0.0015514631,0.1203122138,0.06139274,TRUE,6,573.706035032,0.0933431585,FALSE
oar-miR-433-3p,194.8745910918,6155.7196253479,FALSE,0.0861753998,0.5886430852,0.0928525062,10,FALSE,0.0928525062,7.5447801965,0.1054577839,0.3600798216,-0.6197211828,-0.4178125948,0.2769716067,0.2950288069,0.0767937449,0.1845709103,0.1508471706,0.170771408,0.1452037558,0.1695054886,0.1447430583,7.6598761254,0.2634512174,-0.7811013658,-0.552350385,0.1817400643,0.1934597809,98.2473273686,0.5713673067,2.3870505508,-3.6289516496,-2.8774227807,1.6339978664,2.038293306,0,0.5677506858,0.0169841557,0.0002845745,0.0040093802,0.1022592986,0.0415206089,TRUE,6,396.6814927315,0.0832848778,FALSE
oar-miR-485-3p,453.7815279054,37894.6911780898,FALSE,0.1280396642,0.4935762546,0.134268212,9,FALSE,0.134268212,8.7809666433,-0.0005195855,0.0600651932,-0.4412418408,-0.1166017453,0.1663188857,0.3319840292,0.0902979512,0.2109365181,0.1746754992,0.1954666469,0.1671689135,0.1952735584,0.167220715,8.7803805138,0.0649935684,-0.4859992541,-0.123418245,0.1836058722,0.3535128877,97.244361881,-0.0024632318,0.3438673053,-2.2573766311,-0.6975085431,0.8517225118,1.9853044469,0,0.9980346274,0.7309460807,0.0239845507,0.4854845948,0.3943681229,0.0471106096,TRUE,6,472.8480258931,0.0227199093,FALSE
oar-miR-485-5p,845.595371428,93869.3458473548,FALSE,0.1186794948,0.4604205909,0.1320139114,8,FALSE,0.1320139114,9.6855221841,0.1411032958,0.1452162007,-0.4331639097,0.0148527989,-0.0710626447,0.2030597038,0.0891785464,0.2087281222,0.1727408984,0.1934521189,0.1653039638,0.1934478279,0.165430344,9.8439418309,-0.0029959623,-0.6350193833,-0.1426510332,-0.2365139357,0.0571533339,108.6082087791,0.6760147809,0.8406590569,-2.2391272432,0.0898514384,-0.367347855,1.2274634683,0,0.4990312606,0.4005389638,0.0251476381,0.9284052715,0.7133595623,0.2196484443,TRUE,5,518.4887307789,0.023749753,FALSE
oar-miR-487a-3p,12.2520955164,69.294378892,FALSE,0.3650022402,3.0722110055,0.4125285188,10,FALSE,0.4125285188,3.6254740725,0.3153559266,0.193095955,-0.2350356688,-0.2076804261,-0.2303535929,0.1646198443,0.1706989064,0.3129340902,0.2803505366,0.3000536447,0.2732984634,0.3024741456,0.2738484206,4.0731532525,-0.2049706065,-0.7690451296,-0.7031488905,-0.7675832313,-0.2461780641,21.2389999965,1.0077391262,0.6887661332,-0.7833121609,-0.7599033799,-0.7615645709,0.6011349049,4.16665574328877E-100,0.3135797164,0.4909704511,0.4334438237,0.4473123412,0.4463199269,0.5477501366,TRUE,7,248.0030787056,0.1024330065,FALSE
oar-miR-487b-3p,482.8679257519,20303.3881296467,FALSE,0.0689509674,0.4892660079,0.0742801701,11,FALSE,0.0742801701,8.9058513457,-0.0353877953,0.1963634519,-0.2487469878,-0.1187470896,0.189761453,0.0167619743,0.0677071441,0.1656986902,0.1348022505,0.1520978112,0.1287331293,0.1520138746,0.1291188426,8.8679497065,0.2421625994,-0.2249551117,-0.0850524404,0.2383305726,0.0552594933,131.5348839667,-0.2135671396,1.4566778466,-1.6354409428,-0.9224283614,1.2483166654,0.1298181892,0,0.8308846269,0.1452053278,0.1019566454,0.3563051818,0.2119151135,0.8967102718,TRUE,4,457.4128506148,0.0800509365,FALSE
oar-miR-493-3p,1294.7413866421,358105.370882623,FALSE,0.1059739445,0.4470998224,0.1114460218,9,FALSE,0.1114460218,10.3005567372,0.0970209515,0.5148219921,-0.4427939757,-0.345639267,0.2040390372,-0.0274429474,0.0819091041,0.1947810247,0.1602012853,0.1800583374,0.1533490864,0.1799691141,0.1534194546,10.4076286947,0.4379434732,-0.5871696242,-0.4708057333,0.1138191291,-0.1359449075,125.7559443155,0.4981026856,3.2135946419,-2.4591695232,-2.2539375695,1.1337447441,-0.178875277,0,0.6184116678,0.0013108459,0.0139258843,0.0242000958,0.256901635,0.8580356358,TRUE,5,542.5566286949,0.1764008391,FALSE
oar-miR-493-5p,1203.3001294833,339997.905101356,FALSE,0.122821868,0.4490056014,0.1284481048,7,FALSE,0.1284481048,10.1763163873,-0.1029281042,0.3673701395,-0.3895307795,-0.4380118029,0.2639603323,0.2991459355,0.0878647857,0.2063482532,0.1704619275,0.1910559463,0.1632875861,0.1909699493,0.1632243356,10.0609914683,0.5075765213,-0.3120054042,-0.3491946482,0.4043233531,0.43230166,115.8179161824,-0.4988077323,2.1551448169,-2.0388309662,-2.682456231,1.3822087366,1.832728768,0,0.6179148398,0.0311505036,0.0414669006,0.0073083715,0.1669076183,0.0668429169,TRUE,5,542.0971661161,0.2704615246,FALSE
